"Facility Name",Facility,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates
"Maiden Winds","Maiden Winds","Commercial Scale Wind","Edison Mission Group owns majority","Dan Juhl","Xcel Energy","West Pipestone MN","8.25 MW",5,2004,Vestas,"In Service","44.0008°, -96.3406°"
"Majestic II","Majestic II","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Southwestern Electric Power Co","Amarillo TX","79.6 MW",51,2012,"GE Energy","In Service","35.3672°, -101.5475°"
"Majestic Wind Farm","Majestic Wind Farm","Commercial Scale Wind","Babcock & Brown","Babcock & Brown",N/a,"Carson County TX","79.5 MW",53,2009,"GE Energy","In Service","35.4689°, -101.2394°"
"Mammoth Plains","Mammoth Plains",,,,,"Dewey County, OK","198.9 MW",117,2014,"GE Wind",,"35.9942°, -98.6875°"
Manchester,Manchester,"Definition:Small Scale Wind","Private owner","Private owner","Private owner","Near Manchester in Hillsborough County NH","0.05 MW",1,1998,"Atlantic Orient Co.","In Service","42.9911°, -71.4631°"
"Manzana Winds","Manzana Winds","Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables","San Diego Gas and Electric / City of Santa Clara Silicon Valley Power","Mojave CA","189 MW",126,2012,"GE Energy","In Service","34.9328°, -118.4611°"
"Maple Ridge 1a Wind Farm","Maple Ridge 1a","Commercial Scale Wind","PPM Energy/Horizon Wind Energy","PPM Energy/Horizon Wind Energy",NYSERDA/Market,"Lewis County, New York","33 MW",20,2006,Vestas,"In Service","43.7756°, -75.5847°"
"Maple Ridge Wind Farm (2005 portion)","Maple Ridge Wind Farm (2005 portion)","Commercial Scale Wind","'PPM Energy/Horizon Wind Energy","'PPM Energy/Horizon Wind Energy",NYSERDA/Market,"Lewis County, New York","136.95 MW",83,2005,Vestas,"In Service","43.7756°, -75.5847°"
"Maple Ridge Wind Farm (2006 portion)","Maple Ridge Wind Farm (2006 portion)","Commercial Scale Wind","'PPM Energy/Horizon Wind Energy","PPM Energy/Horizon Wind Energy",NYSERDA/Market,"Lewis County, New York","61.05 MW",37,2006,Vestas,"In Service","43.7756°, -75.5847°"
"Maple Ridge Wind Farm phase II","Maple Ridge Wind Farm phase II","Commercial Scale Wind","Horizon/PPM Energy","'PPM Energy/Horizon Wind Energy",NYSERDA/Market,"Lewis County, New York","90.75 MW",55,2006,Vestas,"In Service","43.7756°, -75.5847°"
"Marble River","Marble River","Commercial Scale Wind","EDP Renewables North America LLC","EDP Renewables North America LLC",Merchant,"Churubusco NY","215.25 MW",70,2012,Vestas,"In Service","44.9406°, -73.9303°"
"Marengo II Wind Farm","Marengo II","Commercial Scale Wind",PacifiCorp,"RES Americas",PacifiCorp,,"70.2 MW",39,2008,Vestas,"In Service","46.4483°, -117.8511°"
"Marengo Wind Farm","Marengo Wind Farm","Commercial Scale Wind",PacifiCorp,"RES America",PacifiCorp,"Near Dayton","140.4 MW",78,2007,Vestas,"In Service","46.4483°, -117.8511°"
"Margaretta High School","Margaretta High School","Definition:Small Scale Wind","Margaretta High School",,"Margaretta High School","Castalia OH","0.1 MW",1,2010,"Northern Power Systems","In Service","41.3992°, -82.8011°"
"Mariah North Wind","Mariah North Wind",,,,,"Parmer County, TX","230.4 MW",96,2016,"GE Wind",,"34.6881°, -102.7322°"
"Mark Richey Woodworking Wind Farm","Mark Richey Woodworking Wind Farm","Community Wind","Mark Richey Woodworking","Mark Richey Woodworking","Mark Richey Woodworking","Newburyport MA","0.6 MW",1,2009,,"In Service","42.8022°, -70.8806°"
"Mars Hill (2006) Wind Farm","Mars Hill (2006)","Commercial Scale Wind","UPC Wind Partners","UPC Wind Partners",Confidential,"Aroostook county ME","9 MW",6,2006,"GE Energy","In Service","46.5514°, -67.8083°"
"Mars Hill (2007) Wind Farm","Mars Hill (2007)","Commercial Scale Wind","UPC Wind Partners","UPC Wind Partners",Confidential,"Aroostook county ME","33 MW",22,2007,"GE Energy","In Service","46.5514°, -67.8083°"
"Marsh Hill","Marsh Hill",,,,,"Steuben County, NY","16.2 MW",10,2014,"GE Wind",,"42.1700°, -77.4958°"
"Marshall Wind Energy","Marshall Wind Energy",,,,,"Marshall County, KS","72 MW",36,2016,Vestas,,"39.8256°, -96.3594°"
"Marshall Wind Farm","Marshall Wind Farm","Commercial Scale Wind","John Deere Wind Energy",Community,"Missouri River Energy Services","Lyon County MN","18.9 MW",9,2008,"Suzlon Energy Company","In Service","44.3311°, -95.8164°"
"Marshalltown Wind Farm",Marshalltown,"Community Wind",,"Consumers Energy","Consumers Energy","Marshalltown IA","0.11 MW",1,2004,Micon,"In Service","42.0517°, -92.9078°"
"Martinsdale Colony North","Martinsdale Colony North","Commercial Scale Wind",,"Two Dot Wind LLC",,"Wheatland MT","0.8 MW",11,2005,Windmatic,"In Service","46.5200°, -110.2800°"
"Martinsdale Colony South","Martinsdale Colony South","Community Wind",,"Two Dot Wind LLC",,"Wheatland MT","2 MW",8,2007,Mitsubishi,"In Service","46.4900°, -110.2800°"
"Mason Wind LLC Dyersville","Mason Wind LLC Dyersville",,,,,"Delaware County, IA","6 MW",3,2017,"HZ Windpower",,"42.4889°, -91.2247°"
"Mason Wind LLC Fairbank","Mason Wind LLC Fairbank",,,,,"Fayette County, IA","6 MW",3,2017,"HZ Windpower",,"42.6497°, -92.0153°"
"Mason Wind LLC Mason City","Mason Wind LLC Mason City",,,,,"Cerro Gordo County, IA","10 MW",5,2017,"HZ Windpower",,"43.1028°, -93.2278°"
"Mason Wind LLC Perry","Mason Wind LLC Perry",,,,,"Dallas County, IA","6 MW",3,2017,"HZ Windpower",,"41.8189°, -94.0806°"
"Massachusetts Maritime Academy Wind Farm","Massachusetts Maritime Academy","Community Wind","Massachusetts Maritime Academy","Massachusetts Maritime Academy","Massachusetts Maritime Academy","Buzzards Bay - Cape Cod MA","0.66 MW",1,2006,Vestas,"In Service","41.7414°, -70.6239°"
"Massachusetts Military Reservation","Massachusetts Military Reservation","Community Wind","Air Force Center for Engineering & the Environment",,"Air Force Center for Engineering & the Environment","Massachusetts Military Reservation MA","1.5 MW",1,2009,Fuhrlander,"In Service","41.6903°, -70.5500°"
"Massachusetts National Cemetery","Massachusetts National Cemetery",,,,,"Barnstable County, MA","0.05 MW",1,2010,Endurance,,"41.6731°, -70.5847°"
"McAdoo Wind Farm","McAdoo Wind Farm","Commercial Scale Wind",Invenergy,Invenergy,,"McAdoo TX","150 MW",100,2008,"GE Energy","In Service","33.7478°, -100.9969°"
"McEvoy Ranch","McEvoy Ranch",,,,,"Marin County, CA","0.225 MW",1,2009,Norwin,,"38.1575°, -122.6797°"
"McFadden Ridge Wind Farm","McFadden Ridge","Commercial Scale Wind",PacifiCorp,PacifiCorp,PacifiCorp,"Southwest of Rock River WY","28.5 MW",19,2009,"GE Energy","In Service","41.7186°, -106.1069°"
"McKinley Wind Park","McKinley Wind Park","Commercial Scale Wind","Detroit Edison","Detroit Edison","Detroit Edison","Pigeon MI","14 MW",9,2012,"GE Energy","In Service","43.8728°, -83.2614°"
"McKinney Wal-Mart Wind Farm","McKinney Wal-Mart","Definition:Small Scale Wind",Wal-Mart,"Bergey Windpower",Wal-Mart,"McKinney TX","0.05 MW",1,2005,"Bergey Windpower","In Service","33.2206°, -96.6306°"
"McNeilus Wind Farm I",McNeilus,"Commercial Scale Wind",McNeilus,McNeilus,"Xcel Energy","Mower County MN","9 MW",10,2002,"NEG Micon","In Service","43.6733°, -92.6656°"
"McNeilus Wind Farm II",McNeilus,"Commercial Scale Wind","G. McNeilus","G. McNeilus","Xcel Energy","Mower County MN","1.65 MW",1,2003,"NEG Micon","In Service","43.6733°, -92.6656°"
"McNeilus Wind Farm III",McNeilus,"Commercial Scale Wind","G. McNeilus","G. McNeilus","Dairyland Power /Alliant","Mower County MN","9 MW",6,2003,"NEG Micon","In Service","43.6733°, -92.6656°"
"McNeilus Wind Farm IV",McNeilus,"Commercial Scale Wind","G. McNeilus","G. McNeilus","Xcel Energy","Mower County MN","9.9 MW",6,2004,"NEG Micon","In Service","43.6733°, -92.6656°"
"Meadow Creek","Meadow Creek","Commercial Scale Wind","Ridgeline Energy","Ridgeline Energy","PacifiCorp (Rocky Mountain Power)","Idaho Falls ID","119.7 MW",57,2012,"Suzlon Energy Company","In Service","43.5050°, -111.8367°"
"Meadow Lake II","Meadow Lake II","Commercial Scale Wind","Horizon Wind Energy","EDP Renewables",,"Brookston IN","91.5 MW",61,2010,Acciona,"In Service","40.6011°, -86.8642°"
"Meadow Lake II (3Q10)","Meadow Lake II (3Q10)","Commercial Scale Wind","Horizon Wind Energy","EDP Renewables",,"Brookston IN","7.5 MW",5,2010,Acciona,"In Service","40.6011°, -86.8642°"
"Meadow Lake III","Meadow Lake III","Commercial Scale Wind","Horizon Wind Energy","EDP Renewables",,"Brookston IN","103.5 MW",69,2010,"GE Energy","In Service","40.6011°, -86.8642°"
"Meadow Lake IV","Meadow Lake IV","Commercial Scale Wind","Horizon Wind Energy","EDP Renewables",,"Brookston IN","98.7 MW",47,2010,"Suzlon Energy Company","In Service","40.6011°, -86.8642°"
"Meadow Lake V","Meadow Lake V",,,,,"White County, IN","100 MW",50,2017,Vestas,,"40.7422°, -87.0072°"
"Meadow Lake Wind Farm","Meadow Lake Wind Farm","Commercial Scale Wind","Horizon Wind Energy","EDP Renewables",,"Brookston IN","200 MW",121,2009,Vestas,"In Service","40.6011°, -86.8642°"
"Meadow Ridge","Meadow Ridge","Community Wind","Meadow Ridge Wind Energy LLC (community owned)",,"Central Iowa Power Cooperative","Greenfield IA","1.6 MW",1,2012,"GE Energy","In Service","41.3900°, -94.4464°"
"Medicine Bow Wind Farm I","Medicine Bow","Commercial Scale Wind","Platte River Power Authority","Platte River Power Authority","Platte River Power Authority","Medicine Bow WY","3.3 MW",5,1999,Vestas,"In Service","41.9275°, -106.3719°"
"Medicine Bow Wind Farm II","Medicine Bow","Commercial Scale Wind","Platte River Power Authority","Platte River Power Authority","Platte River Power Authority","Medicine Bow WY","1.32 MW",2,2000,Vestas,"In Service","41.9275°, -106.3719°"
"Medicine Bow Wind Farm III","Medicine Bow","Definition:Small Scale Wind","Platte River Power Authority","Platte River Power Authority","Platte River Power Authority","Medicine Bow WY","0.07 MW",1,1996,Nordtank,"In Service","41.9275°, -106.3719°"
"Medicine Bow Wind Farm IV","Medicine Bow","Commercial Scale Wind","Platte River Power Authority","Northern Alternative Energy","Platte River Power Authority","Medicine Bow WY","1.2 MW",2,1998,Vestas,"In Service","41.9275°, -106.3719°"
Mehoopany,Mehoopany,"Commercial Scale Wind","BP Wind Energy / Sempra Energy","BP Wind Energy","ODEC / SMECO","WY County PA","140.8 MW",88,2012,"GE Energy","In Service","41.4361°, -76.0942°"
"Mendota Hills Wind Farm","Mendota Hills","Commercial Scale Wind","GE Energy","Navitas Energy",Exelon,"Near Paw Paw IL","50.4 MW",63,2003,Gamesa,"In Service","41.7383°, -89.0442°"
"Meridian Trust Wind Farm I","Meridian Trust","Commercial Scale Wind","NextEra Energy Resources","Kenetech Windpower","Southern California Edison Co","San Gorgonio CA","0.15 MW",1,,Bonus,"In Service","33.9094°, -116.7339°"
"Meridian Trust Wind Farm II","Meridian Trust","Commercial Scale Wind","NextEra Energy Resources","Kenetech Windpower","Southern California Edison Co","San Gorgonio CA","7.4 MW",74,,Kenetech,"In Service","33.9094°, -116.7339°"
"Meridian Way II Wind Farm","Meridian Way II","Commercial Scale Wind","Horizon Wind Energy","Horizon Wind Energy","Westar Energy/Empire District Electric","Cloud County KS","96 MW",32,2008,Vestas,"In Service","39.4328°, -97.5453°"
"Meridian Way Wind Farm","Meridian Way","Commercial Scale Wind","Horizon Wind Energy","Horizon Wind Energy","Westar Energy/Empire District Electric","Cloud County KS","105 MW",35,2008,Vestas,"In Service","39.4328°, -97.5453°"
"Mesa Wind Farm","Mesa Wind Farm",,,,,"Riverside County, CA","29.9 MW",460,1983,Vestas,,"33.9492°, -116.6592°"
"Mesalands Community College Wind Farm","Mesalands Community College","Community Wind","Mesalands Community College","Mesalands Community College","Mesalands Community College","Tucumcari NM","1.5 MW",1,2008,"GE Energy","In Service","35.1711°, -103.7361°"
"Mesquite Creek","Mesquite Creek",,,,,"Dawson County, TX","211.22 MW",118,2015,"GE Wind",,"32.7058°, -101.6900°"
"Method Manufacturing Plant","Method Manufacturing Plant",,,,,"Cook County, IL","0.6 MW",1,2015,"NEG Micon",,"41.6981°, -87.6014°"
"Metro Wind LLC Wind Farm","Metro Wind LLC","Commercial Scale Wind","NAE/Enel North America","Northern Alternative Energy","Xcel Energy","Elk River - Sherbourne County MN","0.66 MW",1,2001,Vestas,"In Service","45.3794°, -93.6339°"
"Meyersdale Wind Farm",Meyersdale,"Commercial Scale Wind","NextEra Energy Resources","Atlantic Renewable Energy",FirstEnergy,"Somerset County PA","30 MW",20,2003,"NEG Micon","In Service","39.7861°, -79.0047°"
"Miami Texas Wind","Miami Texas Wind",,,,,"Roberts County, TX","288.6 MW",156,2014,"GE Wind",,"35.6819°, -100.5625°"
"Michigan Offshore Wind Pilot Project","Michigan Offshore Wind Pilot Project","Offshore Wind","Mighigan Alternative and Renewable Energy Center","Mighigan Alternative and Renewable Energy Center",,"Muskegon Lake MI","0.6 MW",1,,,Proposed,"43.2311°, -86.3069°"
"Michigan Wind I Wind Farm","Michigan Wind I","Commercial Scale Wind","John Deere Wind","Noble Environmental Power","Consumers Energy","Huron County MI","69 MW",46,2008,"GE Energy","In Service","43.7100°, -82.9389°"
"Michigan Wind II Wind Farm","Michigan Wind II Wind Farm","Commercial Scale Wind","Exelon Wind","Exelon Wind","Consumers Energy","Minden City MI","90 MW",50,2011,Vestas,"In Service","43.6572°, -82.7681°"
"Mid-Atlantic Wind Park","Mid-Atlantic Wind Park","Offshore Wind",,"NRG Bluewater Wind",,"Offshore from Rehoboth Beach DE","450 MW",150,,"Vestas (Anticipated)",Proposed,"38.6333°, -74.7750°"
"Midwest Underground Technology","Midwest Underground Technology","Definition:Small Scale Wind","Midwest Underground Technology",,"Midwest Underground Technology","Champaign IL","0.1 MW",1,2010,"Northern Power Systems","In Service","40.1503°, -88.2914°"
"Milford Wind Corridor Phase I (Clipper) Wind Farm","Milford Wind Corridor Phase I (Clipper)","Commercial Scale Wind","First Wind","First Wind","Southern California Public Power Authority","Milford UT","145 MW",58,2009,Clipper,"In Service","38.5222°, -112.9353°"
"Milford Wind Corridor Phase I (GE Energy)","Milford Wind Corridor Phase I (GE Energy)","Commercial Scale Wind","First Wind","First Wind","Southern California Public Power Authority","Milford UT","58.5 MW",39,2009,"GE Energy","In Service","38.5222°, -112.9353°"
"Milford Wind Corridor Phase II","Milford Wind Corridor Phase II","Commercial Scale Wind","First Wind","First Wind","Southern California Public Power Authority","Millard and Beaver County UT","102 MW",68,2011,"GE Energy","In Service","38.6456°, -112.8781°"
"Mill Run Wind Power Project","Mill Run Wind Power Project","Commercial Scale Wind","NextEra Energy Resources","Atlantic Renewable Energy",Exelon,"Mill Run PA","15 MW",10,2001,"GE Energy","In Service","39.9211°, -79.3886°"
"Milner Dam Wind Park","Milner Dam Wind Park","Commercial Scale Wind",Exergy,Exergy,"Idaho Power","Cassia County ID","19.5 MW",13,2010,"GE Energy","In Service","42.4958°, -114.0211°"
Milo,Milo,,,,,"Roosevelt County, NM","30 MW",15,2016,Vestas,,"33.9056°, -103.3603°"
"MinWind I & II Wind Farm","MinWind I & II","Commercial Scale Wind","'Farmer's Cooperative","Farmer's Cooperative with Dan Juhl","Alliant Energy","Rock County MN","3.8 MW",4,2002,"NEG Micon","In Service","43.6747°, -96.2622°"
"MinWind III-IX Wind Farm","MinWind III-IX","Commercial Scale Wind",,,"Xcel Energy","Near Luverne MN","11.55 MW",7,2004,"NEG Micon","In Service","43.6506°, -96.3892°"
"Minco II Wind Energy Center","Minco II Wind Energy Center","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Google Energy","South of Minco OK","100.8 MW",63,2011,"GE Energy","In Service","35.3461°, -98.0036°"
"Minco III","Minco III","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Golden Spread Electric Cooperative","Minco OK","100.8 MW",63,2012,"GE Energy","In Service","35.3544°, -98.1392°"
"Minco Wind Energy Center","Minco Wind Energy Center","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Public Service Company of Oklahoma","South of Minco OK","99.2 MW",62,2010,,"In Service","35.2942°, -97.9261°"
"Minden Wind Park","Minden Wind Park","Commercial Scale Wind","Detroit Edison","Detroit Edison","Detroit Edison","Minden City MI","25 MW",16,2012,"GE Energy","In Service","43.6372°, -82.7803°"
"Minn-Dakota Wind Farm I","Minn-Dakota Wind Farm","Commercial Scale Wind","PPM Energy Inc","PPM Energy Inc","Xcel Energy","Lincoln County SD","54 MW",36,2007,"GE Energy","In Service","44.3856°, -96.4367°"
"Minn-Dakota Wind Farm II","Minn-Dakota Wind Farm","Commercial Scale Wind","Iberdrola Renewables","PPM Energy Inc","Xcel Energy","Lincoln County MN","96 MW",64,2007,"GE Energy","In Service","44.3856°, -96.4367°"
"Minnesota Wind","Minnesota Wind",,,,,"Lincoln County, MN","11.88 MW",18,2000,Vestas,,"44.4200°, -96.4347°"
"Minnesota Wind Share Wind Farm","Minnesota Wind Share","Commercial Scale Wind",Various,"Project Resources Corp.","Xcel Energy","Lake Wilson MN","5.4 MW",3,2006,"Suzlon Energy Company","In Service","43.9961°, -95.9533°"
"Minnkota Power Cooperative Wind Turbine (Petersburg)","Minnkota Power Cooperative Wind Turbine (Petersburg)","Commercial Scale Wind","Minnkota Power Cooperative","Minnkota Power Cooperative","Minnkota Power Cooperative","East of Petersburg ND","0.9 MW",1,2002,"NEG Micon","In Service","48.0089°, -97.9308°"
"Minnkota Power Cooperative Wind Turbine (Valley City)","Minnkota Power Cooperative Wind Turbine (Valley City)","Commercial Scale Wind","Minnkota Power Cooperative","Minnkota Power Cooperative","Minnkota Power Cooperative","East of Valley City - Oriska Hills ND","0.9 MW",1,2001,"NEG Micon","In Service","46.9186°, -97.8917°"
Minonk,Minonk,"Commercial Scale Wind","Algonquin Power",Gamesa,Merchant,"Minonk IL","200 MW",100,2012,Gamesa,"In Service","40.8633°, -88.9433°"
"Minot Wind 2","Minot Wind 2","Commercial Scale Wind","Prairie Winds ND 1","Basin Electric","Basin Electric","South of Minot ND","4.5 MW",3,2009,"GE Energy","In Service","48.0253°, -101.2908°"
"Missouri River Energy Services (MRES) Wind Farm (2002)","Missouri River Energy Services (MRES)","Commercial Scale Wind","Missouri River Energy Services (MRES)","Missouri River Energy Services (MRES) with Tom Wind","MRES/ Worthington Public Utilities","Worthington - Nobles County MN","3.6 MW",4,2002,"NEG Micon","In Service","43.6658°, -95.7492°"
"Missouri River Energy Services (MRES) Wind Farm (2003)","Missouri River Energy Services (MRES)","Commercial Scale Wind",,"Missouri River Energy Services","Missouri River Energy Services","Worthington County MN","1.9 MW",2,2003,"NEG Micon","In Service","43.6658°, -95.7492°"
"Moe Wind Farm","Moe Wind Farm","Commercial Scale Wind",,"Two Dot Wind LLC",,"Wheatland MT","0.5 MW",6,2007,Vestas,"In Service","46.3200°, -110.0900°"
"Mogul Energy Wind Farm","Mogul Energy","Commercial Scale Wind",,"Mogul Energy","Southern California Edison Co","Tehachapi, California","4 MW",8,,Mitsubishi,"In Service","35.0767°, -118.2553°"
"Mojave 16-17-18 Wind Farm I","Mojave 16/17/18","Commercial Scale Wind","NextEra Energy Resources/Tomen",SeaWest,"Southern California Edison Co","Tehachapi, California","66.75 MW",267,1989,Mitsubishi,"In Service","35.0767°, -118.2553°"
"Mojave 16-17-18 Wind Farm II","Mojave 16/17/18","Commercial Scale Wind","NextEra Energy Resources/Tomen",SeaWest,"Southern California Edison Co","Tehachapi, California","18 MW",30,1989,Mitsubishi,"In Service","35.0767°, -118.2553°"
"Mojave 90 (3 & 5) Wind Farm","Mojave 90 (3 & 5)","Commercial Scale Wind","NextEra Energy Resources/Tomen",SeaWest,"Southern California Edison Co","Tehachapi, California","46 MW",184,1990,Mitsubishi,"In Service","35.0767°, -118.2553°"
"Mojave 90 (4) Wind Farm","Mojave 90 (4)","Commercial Scale Wind",,SeaWest,"Southern California Edison Co","Tehachapi, California","29 MW",116,1990,Mitsubishi,"In Service","35.0767°, -118.2553°"
"Mojave/Morowind Wind Farm",Mojave/Morowind,"Commercial Scale Wind",Tomen,Tomen,"Southern California Edison Co","Tehachapi, California","35.4 MW",59,2002,Mitsubishi,"In Service","35.0767°, -118.2553°"
"Monhegan Island","Monhegan Island","Offshore Wind","Maine State Dept of Conservation","DeepCWind Consortium",,"Atlantic Ocean ME","0.22 MW",1,,,Proposed,"43.7131°, -69.3169°"
"Montezuma Wind Project","Montezuma Wind Project","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Pacific Gas & Electric Co","Solano CA","36.8 MW",16,2011,Siemens,"In Service","38.1081°, -121.8531°"
"Montezuma Winds II","Montezuma Winds II","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Pacific Gas & Electric Co","Rio Vista CA","78.2 MW",34,2012,Vestas,"In Service","38.1686°, -121.8061°"
"Montfort Wind Farm","Montfort Wind Farm","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","We Energies/Alliant Energy","Montfort WI","30 MW",20,2001,"GE Energy","In Service","42.9628°, -90.3800°"
"Moorhead Wind (Freedom)","Moorhead Freedom","Community Wind","City of Moorhead, Minnesota (Utility Company)",,"City of Moorhead, Minnesota (Utility Company)","28th Street and 15th Avenue North","0.75 MW",1,1999,"NEG Micon","In Service","46.8953°, -96.7308°"
"Moorhead Wind (Zephyr)","Moorhead Zephyr","Community Wind","City of Moorhead, Minnesota (Utility Company)",,"City of Moorhead, Minnesota (Utility Company)","28th Street and 15th Avenue North","0.75 MW",1,1999,"NEG Micon","In Service","46.8953°, -96.7308°"
"Moraine II Wind Farm","Moraine II","Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables","Xcel Energy","Pipestone & Murray Counties MN","49.5 MW",33,2009,"GE Energy","In Service","44.0125°, -96.1147°"
"Moraine Wind Power Project","Moraine Wind Power Project","Commercial Scale Wind","PPM Energy Inc","PPM Energy Inc","Xcel Energy","Pipestone and Murray Counties MN","51 MW",34,2003,"GE Energy","In Service","43.9936°, -96.0472°"
"Morning Light","Morning Light","Commercial Scale Wind","MidAmerican Energy","Clipper Windpower Development Company","MidAmerican Energy","Casey IA","101.2 MW",44,2012,Siemens,"In Service","41.4483°, -94.5828°"
"Moulton Chandler Hills Wind Farm Phase II","Moulton Chandler Hills Wind Farm Phase II","Commercial Scale Wind","Great River Energy",EnXco,"Great River Energy","Near Chandler MN","1.98 MW",3,2001,Vestas,"In Service","43.9189°, -95.9558°"
"Mount St. Mary's Abbey","Mount St. Mary's Abbey","Definition:Small Scale Wind","Mount St. Mary's Abbey","Sustainable Energy Developments","Mount St. Mary's Abbey","Wrentham MA","0.1 MW",1,2009,,"In Service","42.0331°, -71.3936°"
"Mount Wachusetts Community College Wind Project","Mount Wachusetts Community College Wind Project","Community Wind","Mount Wachusetts Community College","Mount Wachusetts Community College","Mount Wachusetts Community College","Gardner MA","3.3 MW",2,2011,Vestas,"In Service","42.5886°, -71.9839°"
"Mount Wachusetts Wind Farm","Mount Wachusetts Wind Farm","Commercial Scale Wind","Princeton Municipal Light","CEI - Iberdrola","Princeton Municipal Light","Near Princeton MA","3 MW",2,2009,,"In Service","42.5883°, -71.9839°"
"Mountain Air","Mountain Air","Commercial Scale Wind","Terna Energy","Terna Energy","Idaho Power","Hammett ID","138 MW",60,2012,Vestas,"In Service","42.9872°, -115.3986°"
"Mountain Home Wind Farm","Mountain Home","Commercial Scale Wind","John Deere Wind","John Deere Wind","Idaho Power","Elmore County ID","42 MW",20,2009,"Suzlon Energy Company","In Service","43.2683°, -116.1681°"
"Mountain Lake Wind","Mountain Lake Wind",,,,,"Cottonwood County, MN","1.25 MW",1,2007,"Suzlon Energy Company",,"43.9406°, -94.9433°"
"Mountain View Grand","Mountain View Grand","Definition:Small Scale Wind","Mountain View Grand","Sustainable Energy Developments","Mountain View Grand","Mountain View Grand Resort & Spa NH","0.1 MW",1,2009,"Northern Power Systems","In Service","44.3981°, -71.5903°"
"Mountain View IV","Mountain View IV","Commercial Scale Wind","AES Wind Generation","AES Wind Generation","Southern California Edison Co","White Water CA","49 MW",49,2012,Mitsubishi,"In Service","33.9547°, -116.7017°"
"Mountain View Power Partners I Wind Farm","Mountain View Power Partners I","Commercial Scale Wind","MDU Resources",SeaWest,"L.A. Department of Water Resources","San Gorgonio CA","44.4 MW",74,2001,Mitsubishi,"In Service","33.9094°, -116.7339°"
"Mountain View Power Partners II Wind Farm","Mountain View Power Partners II","Commercial Scale Wind","MDU Resources",SeaWest,"L.A. Department of Water Resources","San Gorgonio CA","22.2 MW",37,2001,Mitsubishi,"In Service","33.9094°, -116.7339°"
"Mountain View Power Partners III Wind Farm","Mountain View Power Partners III","Commercial Scale Wind","PPM Energy Inc","PPM Energy Inc","San Diego Gas & Electric","San Gorgonio CA","22.44 MW",34,2003,Vestas,"In Service","33.9094°, -116.7339°"
"Mountain Wind I Wind Farm","Mountain Wind I","Commercial Scale Wind","Edison Mission Group","Edison Mission Group",PacifiCorp,WY,"60.9 MW",29,2008,"Suzlon Energy Company","In Service","41.2756°, -110.5394°"
"Mountain Wind II Wind Farm","Mountain Wind II","Commercial Scale Wind","Edison Mission Group","Edison Mission Group",PacifiCorp,WY,"79.8 MW",38,2008,"Suzlon Energy Company","In Service","41.2756°, -110.5394°"
"Mountaineer Wind Energy Center","Mountaineer Wind Energy Center","Commercial Scale Wind","NextEra Energy Resources","Atlantic Renewable Energy",Exelon,"Thomas WV","66 MW",44,2002,"NEG Micon","In Service","39.1631°, -79.5544°"
"Mower County Wind Energy Center","Mower County Wind Energy Center","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Xcel Energy","Mower County MN","98.9 MW",43,2006,Siemens,"In Service","43.6958°, -92.6497°"
Mozart,Mozart,"Commercial Scale Wind","WKN USA LLC","WKN USA LLC","Merchant (ERCOT)","Kent County TX","30 MW",12,2012,Nordex,"In Service","32.9917°, -100.5308°"
"Mt Peak Utility","Mt Peak Utility","Definition:Small Scale Wind","Mnt Peak Utility",,"Mnt Peak Utility","Midlothian TX","0.1 MW",1,2010,"Northern Power Systems","In Service","32.4214°, -97.0242°"
"Munnsville Wind Farm",Munnsville,"Commercial Scale Wind",Airtricity,Airtricity,,"Near Munnsville NY","34.5 MW",23,2007,"GE Energy","In Service","42.9486°, -75.5631°"
"Murray Various Wind Farm","Murray Various","Commercial Scale Wind","Southern Minnesota Municipal Power Agency","Southern Minnesota Municipal Power Agency","Southern Minnesota Municipal Power Agency",MN,"10 MW",8,2005,"Suzlon Energy Company","In Service","43.9828°, -96.0114°"
"Musselshell I","Musselshell I","Commercial Scale Wind",Goldwind,"Volkswind USA","NorthWestern Energy","Ryegate MT","10 MW",7,2012,Goldwind,"In Service","46.2831°, -109.4700°"
"Musselshell II","Musselshell II","Commercial Scale Wind",Goldwind,"Volkswind USA","NorthWestern Energy","Ryegate MT","10 MW",7,2012,Goldwind,"In Service","46.2672°, -109.4992°"
"Mustang Hills","Mustang Hills (Alta VI)","Commercial Scale Wind","Terra-Gen Power LLC","Terra-Gen Power LLC","Southern California Edison Co","Tehachapi Pass CA","150 MW",50,2012,Vestas,"In Service","35.0192°, -118.3031°"
"Mustang Island Offshore Wind Farm","Mustang Island Offshore Wind Farm","Offshore Wind","Baryonyx Corporation","Baryonyx Corporation",,"Offshore from Mustang Island TX","1200 MW",200,,,Proposed,"27.6600°, -97.0100°"
